id,name__sh,name__en,name__sr_el,name__sr_ec,name__hr,name__es,name__sr,name__pl,name__fr,name__de,name__nl,name__hu,name__ja,name,wikipedia__de,wikipedia__en,wikipedia__fr,wikipedia__hr,wikipedia__pl,wikipedia__sh,wikipedia__sr,image,gender,occupation,identifier__VIAF,birth_date,identifier__freebase,given_name,original_wikiname,name__sv,wikipedia__sv,identifier__EuroparlMEP,name__ru,name__uk,name__cs,name__et,wikipedia__cs,wikipedia__et,wikipedia__ru,wikipedia__uk,name__fi,name__zh,wikipedia__fi,identifier__PACE,name__it,name__nb,name__da,name__nn,wikipedia__hrwikiquote,wikipedia__it,name__sl,name__ie,name__tw,wikipedia__commons,wikipedia__ie,wikipedia__sl,wikipedia__tw,wikipedia__zh,identifier__GND,website,identifier__LCAuth,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cy,name__eo,name__eu,name__fur,name__ga,name__gd,name__gl,name__gsw,name__is,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sq,name__tr,name__vec,name__vls,name__wa,identifier__SUDOC,identifier__FAST,name__zh_hans,name__fa,name__bm,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__frc,name__frp,name__ia,name__id,name__io,name__jam,name__kab,name__kg,name__lv,name__mg,name__min,name__ms,name__nrm,name__oc,name__pap,name__prg,name__pt_br,name__rgn,name__sw,name__vi,name__vmf,name__vo,name__wo,name__zu,wikipedia__fa,family_name,name__be,wikipedia__be,name__ar,name__el,name__he,name__la,name__hy,wikipedia__ar,wikipedia__cswikiquote,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__he,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__no,wikipedia__pt,wikipedia__simple,wikipedia__tr,wikipedia__vi,identifier__Munzinger,death_date,name__mk,wikipedia__bg,identifier__ISNI,name__bg,wikipedia__nl,identifier__parlement,name__ku,wikipedia__ku,wikipedia__bswikiquote,wikipedia__ca,wikipedia__hrwikisource,wikipedia__bs,wikipedia__ja,wikipedia__enwikiquote,name__nan,name__ko,name__yo,name__mn,name__be_tarask,name__ka,wikipedia__be_x_old,wikipedia__da,wikipedia__eu,wikipedia__gl,wikipedia__io,wikipedia__ka,wikipedia__ko,wikipedia__mn,wikipedia__oc,wikipedia__sk,wikipedia__sq,wikipedia__yo,wikipedia__zh_min_nan,identifier__Britannica,name__zh_hant,name__zh_cn,wikipedia__srwikiquote,identifier__IMDB,identifier__NUKAT,facebook,name__bn,wikipedia__bn,wikipedia__lt,wikipedia__lv,wikipedia__mk,wikipedia__nn,identifier__IIAF,twitter,name__uz,identifier__BNF,identifier__NKC,identifier__NLP
Q1337804,Gordan Jandroković,Gordan Jandroković,,,Gordan Jandroković,,,Gordan Jandroković,Gordan Jandroković,Gordan Jandroković,Gordan Jandroković,,ゴルダン・ヤンドロコヴィッチ,Gordan Jandroković,Gordan Jandroković,Gordan Jandroković,Gordan Jandroković,Gordan Jandroković,Gordan Jandroković,Gordan Jandroković,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Gordan_Jandroković_25-06-09.jpg,male,diplomat,,1967-08-02,/m/03hn5q9,Gordan,Gordan Jandroković,Gordan Jandroković,Gordan Jandroković,,"Яндрокович, Гордан",Гордан Яндрокович,,,,,"Яндрокович, Гордан",Гордан Яндрокович,Gordan Jandroković,戈爾丹·揚德羅科維奇,Gordan Jandroković,7238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13566355,,Vojislav Stanimirović,,,Vojislav Stanimirović,Vojislav Stanimirović,Војислав Станимировић,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,ヴォイスラヴ・スタニミロヴィッチ,Vojislav Stanimirović,,Vojislav Stanimirović (politician),,Vojislav Stanimirović,,,Војислав Станимировић,https://upload.wikimedia.org/wikipedia/commons/6/67/Stanimirovic.jpg,male,,,1953-08-19,,Vojislav,Војислав Станимировић,Vojislav Stanimirović,,,,,Vojislav Stanimirović,Vojislav Stanimirović,,,,,Vojislav Stanimirović,,,,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,,,Vojislav Stanimirović,,,,,,,,,,,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,Vojislav Stanimirović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1560823,Božidar Kalmeta,Božidar Kalmeta,,,Božidar Kalmeta,,,,Božidar Kalmeta,Božidar Kalmeta,Božidar Kalmeta,,,Božidar Kalmeta,,Božidar Kalmeta,,Božidar Kalmeta,,Božidar Kalmeta,,https://upload.wikimedia.org/wikipedia/commons/d/d8/Božidar_Kalmeta.jpg,male,politician,,1958-01-15,,Božidar,Božidar Kalmeta,,,,,Божидар Калмета,,,,,,Божидар Калмета,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bozhidar Kallmeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bozhidar Kallmeta,,,,,,,,,,,,,,,,,,,,,
Q1565019,Krešimir Bubalo,Krešimir Bubalo,,,Krešimir Bubalo,,,,Krešimir Bubalo,Krešimir Bubalo,Krešimir Bubalo,,,Krešimir Bubalo,,Krešimir Bubalo,,Krešimir Bubalo,,Krešimir Bubalo,,,male,politician,,1973-11-05,,Krešimir,Krešimir Bubalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16111501,Anka Mrak Taritaš,Anka Mrak Taritaš,,,Anka Mrak Taritaš,,,Anka Mrak-Taritaš,Anka Mrak Taritaš,Anka Mrak Taritaš,,,,Anka Mrak Taritaš,,Anka Mrak Taritaš,,Anka Mrak Taritaš,Anka Mrak-Taritaš,Anka Mrak Taritaš,,,female,architect,,1959-11-24,,Anka,Anka Mrak Taritaš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anka Mrak Taritaš,,,
Q16114858,Božo Petrov,Božo Petrov,,,Božo Petrov,,,Božo Petrov,Božo Petrov,,,,,Božo Petrov,,Božo Petrov,Božo Petrov,Božo Petrov,Božo Petrov,Božo Petrov,,https://upload.wikimedia.org/wikipedia/commons/6/66/PetrovBožo.png,male,politician,,1979-10-16,,Božo,Božo Petrov,Božo Petrov,Božo Petrov,,Божо Петров,Божо Петров,,,,,,Божо Петров,,波佐·佩特羅夫,,,Božo Petrov,,,,,Božo Petrov,,Božo Petrov,,,Božo Petrov,,,波佐·佩特羅夫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16115028,,Ingrid Antičević-Marinović,,,Ingrid Antičević-Marinović,,,,,,,,,Ingrid Antičević-Marinović,,Ingrid Antičević-Marinović,,Ingrid Antičević-Marinović,,,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Ingrid_Antičević_Marinović.jpg,female,,,1957-10-04,,Ingrid,Ingrid Antičević-Marinović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16115922,,Krešo Beljak,,,Krešo Beljak,,,Krešo Beljak,,,,,,Krešo Beljak,,Krešo Beljak,,Krešo Beljak,Krešo Beljak,,,https://upload.wikimedia.org/wikipedia/commons/a/a0/Krešo_Beljak.jpg,male,,,1971-08-22,,Krešo,Krešo Beljak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16186424,Stipe Petrina,Stipe Petrina,,,,,,,Stipe Petrina,Stipe Petrina,,,,Stipe Petrina,,Stipe Petrina,,,,Stipe Petrina,,,male,,,1954-10-05,,Stipe,Stipe Petrina,,,,,,,,,,,,,,,,Stipe Petrina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16324522,Ivan Vrdoljak,Ivan Vrdoljak,,,Ivan Vrdoljak,,,Ivan Vrdoljak,Ivan Vrdoljak,Ivan Vrdoljak,Ivan Vrdoljak,,,Ivan Vrdoljak,,Ivan Vrdoljak,Ivan Vrdoljak,Ivan Vrdoljak,Ivan Vrdoljak,Ivan Vrdoljak,,https://upload.wikimedia.org/wikipedia/commons/e/ee/I_vrdoljak.jpg,male,politician,,1972-06-22,,Ivan,Ivan Vrdoljak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivan Vrdoljak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q165463,Branko Grčić,Branko Grčić,,,Branko Grčić,Branko Grčić,Бранко Грчић,Branko Grčić,Branko Grčić,Branko Grčić,Branko Grčić,,,Branko Grčić,Branko Grčić,Branko Grčić,Branko Grčić,Branko Grčić,Branko Grčić,Branko Grčić,Бранко Грчић,https://upload.wikimedia.org/wikipedia/commons/0/0d/B_grcic.jpg,male,economist,197294679,1964-04-16,/m/0hr1g4t,Branko,Бранко Грчић,,,,,Бранко Грчич,,,,,,Бранко Грчич,,,,,,,,,,,,,,,,,,,171608119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16633707,Nevenka Bečić,Nevenka Bečić,,,,,,,,,,,,Nevenka Bečić,,Nevenka Bečić,,,,Nevenka Bečić,,,female,,,1958-03-05,,,Nevenka Bečić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16676927,,Siniša Hajdaš Dončić,,,,,,Siniša Hajdaš Dončić,Siniša Hajdaš Dončić,Siniša Hajdaš Dončić,Siniša Hajdaš Dončić,,,Siniša Hajdaš Dončić,,Siniša Hajdaš Dončić,Siniša Hajdaš Dončić,,Siniša Hajdaš Dončić,,,,male,politician,,1974-06-29,,Siniša,Siniša Hajdaš Dončić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17275529,Silvano Hrelja,Silvano Hrelja,,,Silvano Hrelja,,,Silvano Hrelja,,,,,,Silvano Hrelja,,Silvano Hrelja,,Silvano Hrelja,Silvano Hrelja,Silvano Hrelja,,https://upload.wikimedia.org/wikipedia/commons/8/8f/Kukuriku.jpg,male,,,1958-03-14,,Silvano,Silvano Hrelja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20525090,Drago Prgomet,Drago Prgomet,,,Drago Prgomet,,Драго Пргомет,Drago Prgomet,,,,,,Drago Prgomet,,Drago Prgomet,,Drago Prgomet,Drago Prgomet,Drago Prgomet,Драго Пргомет,,male,,,1965-05-23,,,Drago Prgomet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20525506,,Siniša Varga,,,Siniša Varga,,,Siniša Varga,Siniša Varga,,Siniša Varga,,,Siniša Varga,,Siniša Varga,Siniša Varga,Siniša Varga,Siniša Varga,,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Siniša_Varga.jpg,male,dentist,,1965-08-24,,Siniša,Siniša Varga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20525725,Zlatko Hasanbegović,Zlatko Hasanbegović,,,Zlatko Hasanbegović,,,Zlatko Hasanbegović,Zlatko Hasanbegović,Zlatko Hasanbegović,Zlatko Hasanbegović,,,Zlatko Hasanbegović,Zlatko Hasanbegović,Zlatko Hasanbegović,Zlatko Hasanbegović,Zlatko Hasanbegović,Zlatko Hasanbegović,Zlatko Hasanbegović,,https://upload.wikimedia.org/wikipedia/commons/7/7b/ZlatkoHasanbegovic_final.jpg,male,historian,7162442,1973-06-14,,Zlatko,Zlatko Hasanbegović,,,,,Златко Гасанбегович,Zlatko Hasanbegović,,,,,Златко Гасанбегович,,,,,,,,,,,,Zlatko Hasanbegović,,,Zlatko Hasanbegović,,,,,,no2007023300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zlatko Hasanbegović,,,,,,120276593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 6665 1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159215651,js2015884894,A3235762X
Q21064401,,Nansi Tireli,,,,,,Nansi Tireli,,,Nansi Tireli,,,Nansi Tireli,,Nansi Tireli,,,Nansi Tireli,,,https://upload.wikimedia.org/wikipedia/commons/8/80/Nansi_Tireli.jpg,female,,,1965-02-26,,,Nansi Tireli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22160025,Miro Kovač,Miro Kovač,,,Miro Kovač,Miro Kovač,,Miro Kovač,Miro Kovač,Miro Kovač,Miro Kovač,,,Miro Kovač,Miro Kovač,Miro Kovač,Miro Kovač,Miro Kovač,Miro Kovač,Miro Kovač,,https://upload.wikimedia.org/wikipedia/commons/8/8a/Miro_Kovač.JPG,male,,7619139,1968-09-20,,,Miro Kovač,Miro Kovač,Miro Kovač,,,Міро Ковач,,,,,,Міро Ковач,,,,,,,,,,,,Miro Kovač,Miro Kovač,Category:Miro Kovač,Miro Kovač,,Miro Kovač,,,,n2001153021,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miro Kovač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miro Kovač,,,,,,,,,,,Miro Kovač,,,,,,,,,,,,,,Miro Kovač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22916435,Robert Podolnjak,Robert Podolnjak,,,,,,,Robert Podolnjak,,Robert Podolnjak,,,Robert Podolnjak,,Robert Podolnjak,,,,Robert Podolnjak,,https://upload.wikimedia.org/wikipedia/commons/0/08/Robert_Podolnjak.JPG,male,lawyer,,1958-06-03,,Robert,Robert Podolnjak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2351745,,Arsen Bauk,Arsen Bauk,Арсен Баук,Arsen Bauk,Arsen Bauk,Арсен Баук,Arsen Bauk,Arsen Bauk,Arsen Bauk,Arsen Bauk,Arsen Bauk,,Arsen Bauk,,Arsen Bauk,,,Arsen Bauk,,Арсен Баук,https://upload.wikimedia.org/wikipedia/commons/8/80/Arsen_Bauk.jpg,male,politician,,1973-02-07,/m/0hrhwzp,Arsen,Арсен Баук,,,,Арсен Баук,Арсен Баук,,,,,"Баук, Арсен",Арсен Баук,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23908896,,Đuro Popijač,,,,,,,,,Đuro Popijač,,,Đuro Popijač,,Đuro Popijač,,,,,,,male,,305582749,1959-04-23,,,Đuro Popijač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24055475,,Peđa Grbin,,,,,,,,,Peđa Grbin,,,Peđa Grbin,,Peđa Grbin,,,,,,,male,,,1979-05-24,,,Peđa Grbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25043794,,Srđan Gjurković,,,,,,,,,,,,Srđan Gjurković,,Srđan Gjurković,,,,,,,male,politician,,1964-09-25,,Srđan,Srđan Gjurković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2590916,Milorad Pupovac,Milorad Pupovac,Milorad Pupovac,Милорад Пуповац,Milorad Pupovac,Milorad Pupovac,Милорад Пуповац,Milorad Pupovac,Milorad Pupovac,,Milorad Pupovac,Milorad Pupovac,,Milorad Pupovac,,Milorad Pupovac,,Milorad Pupovac,Milorad Pupovac,Milorad Pupovac,Милорад Пуповац,https://upload.wikimedia.org/wikipedia/commons/d/dd/Pupovac.jpg,male,politician,65546297,1955-11-05,/m/0h1bsb9,Milorad,Милорад Пуповац,,,,"Пуповац, Милорад",,,,,,"Пуповац, Милорад",,,,,,,,,,,,,,,,,,,,,,n88020375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,072861274,1483826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pupovac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 2750 2810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Милорад Пуповац,nm1301801,n2012146507,Dr-Milorad-Pupovac-284379738398650,,,,,,,,,,,,
Q2617559,Tonino Picula,Tonino Picula,,,Tonino Picula,Tonino Picula,,Tonino Picula,Tonino Picula,Tonino Picula,Tonino Picula,Tonino Picula,,Tonino Picula,Tonino Picula,Tonino Picula,Tonino Picula,Tonino Picula,Tonino Picula,Tonino Picula,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Tonino_picula.jpg,male,politician,305532359,1961-08-31,/m/02rrjqh,Tonino,Tonino Picula,Tonino Picula,Tonino Picula,112744,"Пицула, Тонино",Тоніно Піцула,,,,,"Пицула, Тонино",Тоніно Піцула,Tonino Picula,,Tonino Picula,,,Tonino Picula,Tonino Picula,Tonino Picula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Таніна Піцула,Таніна Піцула,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2618434,Josip Friščić,Josip Friščić,,,Josip Friščić,Josip Friščić,,Josip Friščić,Josip Friščić,Josip Friščić,Josip Friščić,Josip Friščić,,Josip Friščić,,Josip Friščić,Josip Friščić,Josip Friščić,Josip Friščić,Josip Friščić,,https://upload.wikimedia.org/wikipedia/commons/d/da/Josip_Friščić_25-06-09.jpg,male,politician,,1949-08-15,/m/04lfc59,Josip,Josip Friščić,,,,"Фришчич, Иосип",Йосип Фрішчич,,,,,"Фришчич, Иосип",Йосип Фрішчич,,,,,Josip Friščić,,,,,,,,,Category:Josip Friščić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josip Friscic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josip Friščić,Josip Friscic,,,2016-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2618680,Ranko Ostojić,Ranko Ostojić,,,Ranko Ostojić,,,Ranko Ostojić,Ranko Ostojić,Ranko Ostojić,Ranko Ostojić,,,Ranko Ostojić,,Ranko Ostojić,Ranko Ostojić,Ranko Ostojić,Ranko Ostojić,Ranko Ostojić,,https://upload.wikimedia.org/wikipedia/commons/a/a4/R_ostojic.jpg,male,politician,,1962-10-03,/m/05zn5cf,,Ranko Ostojić,,,,"Остоич, Ранко",Ранко Остоїч,Ranko Ostojić,Ranko Ostojić,Ranko Ostojić,Ranko Ostojić,"Остоич, Ранко",Ранко Остоїч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2619574,,Davor Božinović,,,Davor Božinović,,,Davor Božinović,Davor Božinović,,Davor Božinović,,,Davor Božinović,,Davor Božinović,,Davor Božinović,Davor Božinović,,,https://upload.wikimedia.org/wikipedia/commons/0/04/20_obljetnica_osnivanja_OS_RH_Davor_Bozinovic_26052011_2.jpg,male,politician,,1961-12-27,/m/0g5r9th,Davor,Davor Božinović,,,,Давор Божинович,Давор Божинович,,,,,"Божинович, Давор",Давор Божинович,,,,,,,,,,,,,,Category:Davor Božinović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2620544,Dražen Bošnjaković,Dražen Bošnjaković,,,Dražen Bošnjaković,,,Dražen Bošnjaković,Dražen Bošnjaković,,Dražen Bošnjaković,,,Dražen Bošnjaković,,Dražen Bošnjaković,,Dražen Bošnjaković,Dražen Bošnjaković,Dražen Bošnjaković,,,male,politician,,1961-01-06,/m/0cmd7zc,Dražen,Dražen Bošnjaković,,,,Дражен Бошнякович,Дражен Бошнякович,,,,,"Бошнякович, Дражен",Дражен Бошнякович,,,,,,,,,,,Dražen Bošnjaković,,,,,Dražen Bošnjaković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
